Component#1,Component#2,SMILES1,SMILES2,X#1 (molar fraction).1,X#2 (molar fraction).1,"Temperature, K","Density, g/cm^3",Reference (DOI)
choline chloride,l-tartaric acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.667,0.333,296.15,1.26,10.1016/j.molliq.2017.04.052
choline chloride,tartaric  acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.667,0.333,296.15,1.26,doi:10.1002/aic.18095
betaine,oxalic acid,C[N+](C)(C)CC(=O)[O-],C(=O)(C(=O)O)O,0.333,0.476,333.15,1.26,10.1039/C4RA10628H
choline chloride,dl-tartaric acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.667,0.333,293.2,1.2599,10.1016/j.tca.2012.04.030
choline chloride,monochloroacetic acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,323.15,1.2597,10.1021/sc500439w
choline chloride,monochloroacetic  acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,323.15,1.2597,doi:10.1002/aic.18095
l-(+)-lactic  acid,glycine,CC(C(=O)O)O,C(C(=O)O)N,0.875,0.125,298.15,1.2595,doi:10.1002/aic.18095
glycine,l-lactic acid,C(C(=O)O)N,CC(C(=O)O)O,0.125,0.875,298.15,1.2595,10.1016/j.jmgm.2022.108319
choline chloride,ninhydrin,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.571,0.429,298.15,1.2594,10.1016/j.jct.2021.106713
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,353.15,1.2593,10.1021/je100104v
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,353.15,1.2593,doi:10.1002/aic.18095
l-alanine,l-lactic acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,333.15,1.259,10.1016/j.jct.2020.106051
choline chloride,d-fructose,C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.714,0.286,298.15,1.259,10.1016/j.tca.2012.04.030
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,298.15,1.259,10.1016/j.molliq.2020.112644
choline chloride,oxalic  acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,298.15,1.259,doi:10.1002/aic.18095
betaine,dl-malic acid,C[N+](C)(C)CC(=O)[O-],C(C(C(=O)O)O)C(=O)O,0.5,0.5,298.15,1.259,10.1039/C4RA10628H
benzyltripropylammonium  chloride,oxalic  acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,298.15,1.259,doi:10.1002/aic.18095
ammonium thiocyanate,urea,C(#N)[S-].[NH4+],C(=O)(N)N,0.4,0.6,298.15,1.259,10.1016/j.cej.2018.10.077
alanine,lactic  acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,333.15,1.259,doi:10.1002/aic.18095
choline chloride,dl-malic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.5,0.5,323.2,1.2589,10.1016/j.jct.2021.106713
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,0.167,0.833,353.15,1.2589,10.1021/acssuschemeng.9b03245
"1-hydroxyethyl-1,4-dimethyl-piperazinium  bromide",glycerol,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,0.167,0.833,353.15,1.2589,doi:10.1002/aic.18095
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,0.143,0.857,353.15,1.2587,10.1021/acssuschemeng.9b03245
"1-hydroxyethyl-1,4-dimethyl-piperazinium  bromide",glycerol,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,0.143,0.857,353.15,1.2587,doi:10.1002/aic.18095
"n,n-diethylethanolammonium  chloride","2,2,2-trifluoroacetamide",CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N,0.333,0.667,338.06,1.2581,doi:10.1002/aic.18095
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.33,0.67,368.15,1.2581,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.33,0.67,368.15,1.2581,doi:10.1002/aic.18095
l-proline,dl-lactic acid,C1CC(NC1)C(=O)O,CC(C(=O)O)O,0.5,0.5,303.15,1.2581,10.1016/j.jct.2018.12.017
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.333,0.667,368.18,1.2579,doi:10.1002/aic.18095
choline chloride,d-glucose,C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.6,0.4,318.11,1.2576,doi:10.1002/aic.18095
choline chloride,ninhydrin,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.571,0.429,303.15,1.2571,10.1016/j.molliq.2017.04.052
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,343.15,1.2568,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,343.15,1.2568,doi:10.1002/aic.18095
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,313.2,1.2567,10.1021/sc500439w
choline chloride,dl-tartaric acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.6,0.4,353.2,1.2562,10.1016/j.molliq.2020.112644
choline chloride,monochloroacetic acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,328.15,1.2559,10.1039/C1CP22554E
choline chloride,monochloroacetic  acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,328.15,1.2559,doi:10.1002/aic.18095
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,358.15,1.2556,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,358.15,1.2556,doi:10.1002/aic.18095
ammonium thiocyanate,urea,C(#N)[S-].[NH4+],C(=O)(N)N,0.4,0.6,313.15,1.2556,doi:10.1002/aic.18095
l-(+)-lactic  acid,glycine,CC(C(=O)O)O,C(C(=O)O)N,0.875,0.125,303.15,1.2555,doi:10.1002/aic.18095
glycine,l-lactic acid,C(C(=O)O)N,CC(C(=O)O)O,0.125,0.875,303.15,1.2555,10.1016/j.jmgm.2022.108319
choline chloride,d-fructose,C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.667,0.333,338.15,1.2555,10.1039/C1CP22554E
methyltriphenylphosphonium bromide,glycerine,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.364,0.636,348.15,1.255,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerine,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.364,0.636,348.15,1.255,doi:10.1002/aic.18095
l-alanine,l-lactic acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,338.15,1.255,10.1016/j.jcou.2022.102217
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,303.15,1.255,10.1016/j.tca.2012.04.030
choline chloride,oxalic  acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,303.15,1.255,doi:10.1002/aic.18095
benzyltripropylammonium  chloride,oxalic  acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,303.15,1.255,doi:10.1002/aic.18095
alanine,lactic  acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,338.15,1.255,doi:10.1002/aic.18095
l-proline,dl-lactic acid,C1CC(NC1)C(=O)O,CC(C(=O)O)O,0.5,0.5,308.15,1.2546,10.1016/j.jct.2018.12.017
choline chloride,dl-tartaric acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.667,0.333,303.2,1.2544,10.1016/j.jct.2021.106713
1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,0.333,0.667,293.15,1.2543,10.1016/j.ctta.2022.100088
choline chloride,ninhydrin,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.571,0.429,308.15,1.2542,10.1016/j.molliq.2017.04.052
choline chloride,d-fructose,C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.714,0.286,308.15,1.2537,10.1016/j.jct.2021.106713
choline chloride,dl-malic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.5,0.5,333.2,1.253,10.1016/j.tca.2012.04.030
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,348.15,1.2529,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,348.15,1.2529,doi:10.1002/aic.18095
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,363.15,1.2524,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,363.15,1.2524,doi:10.1002/aic.18095
choline chloride,monochloroacetic acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,333.15,1.2521,10.1016/j.molliq.2020.112644
choline chloride,monochloroacetic  acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,333.15,1.2521,doi:10.1002/aic.18095
l-alanine,l-lactic acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,343.15,1.252,10.1016/j.jcou.2022.102217
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,308.15,1.252,10.1016/j.molliq.2017.04.052
choline chloride,d-glucose,C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.6,0.4,328.02,1.252,doi:10.1002/aic.18095
choline chloride,oxalic  acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,308.15,1.252,doi:10.1002/aic.18095
benzyltripropylammonium  chloride,oxalic  acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,308.15,1.252,doi:10.1002/aic.18095
alanine,lactic  acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,343.15,1.252,doi:10.1002/aic.18095
choline chloride,glycolic  acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O,0.25,0.75,333.26,1.2517,doi:10.1002/aic.18095
choline chloride,d-glucose,C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.714,0.286,298.15,1.2516,doi:10.1002/aic.18095
l-(+)-lactic  acid,glycine,CC(C(=O)O)O,C(C(=O)O)N,0.875,0.125,308.15,1.2512,doi:10.1002/aic.18095
glycine,l-lactic acid,C(C(=O)O)N,CC(C(=O)O)O,0.125,0.875,308.15,1.2512,10.1016/j.jmgm.2022.108319
choline chloride,ninhydrin,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.571,0.429,313.15,1.2512,10.1021/sc500439w
l-proline,dl-lactic acid,C1CC(NC1)C(=O)O,CC(C(=O)O)O,0.5,0.5,313.15,1.2511,10.1016/j.jct.2018.12.017
methyltriphenylphosphonium  bromide,ethylene  glycol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.25,0.75,298.15,1.2504,doi:10.1002/aic.18095
1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,0.333,0.667,298.15,1.2504,10.1016/j.ctta.2022.100088
methyltriphenylphosphonium bromide,ethylene glycol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.25,0.75,298.15,1.2501,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,ethylene  glycol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.25,0.75,298.15,1.2501,doi:10.1002/aic.18095
choline chloride,malonic acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O,0.5,0.5,298,1.25,10.1016/j.molliq.2017.04.052
choline chloride,urea,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N,0.333,0.667,298,1.25,10.1016/j.jct.2021.106713
choline chloride,malonic  acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O,0.5,0.5,298,1.25,doi:10.1002/aic.18095
betaine,2-chlorobenzoic acid,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)Cl,0.4,0.6,363.15,1.25,10.1039/C4RA10628H
betaine,2-furoic acid,C[N+](C)(C)CC(=O)[O-],C1=COC(=C1)C(=O)O,0.333,0.667,328.15,1.25,10.1039/C4RA10628H
betaine,4-chloro benzoic acid,C[N+](C)(C)CC(=O)[O-],C1=CC(=CC=C1C(=O)O)Cl,0.4,0.6,348.15,1.25,10.1039/C4RA10628H
betaine,glycolic acid,C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,0.333,0.667,323.15,1.25,10.1039/C4RA10628H
betaine,dl-xylitol,C[N+](C)(C)CC(=O)[O-],C(C(C(C(CO)O)O)O)O,0.333,0.667,298.15,1.25,10.1039/C4RA10628H
betaine,2-chloro benzoic  acid,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)Cl,0.4,0.6,348.15,1.25,doi:10.1002/aic.18095
betaine,2-furoic  acid,C[N+](C)(C)CC(=O)[O-],C1=COC(=C1)C(=O)O,0.333,0.667,328.15,1.25,doi:10.1002/aic.18095
betaine,4-chloro benzoic  acid,C[N+](C)(C)CC(=O)[O-],C1=CC(=CC=C1C(=O)O)Cl,0.4,0.6,348.15,1.25,doi:10.1002/aic.18095
betaine,glycolic  acid,C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,0.333,0.667,323.15,1.25,doi:10.1002/aic.18095
choline chloride,d-fructose,C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.667,0.333,348.15,1.2497,10.1016/j.molliq.2020.112644
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,323.2,1.2496,10.1021/sc500439w
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,353.15,1.2495,10.1016/j.fluid.2013.06.050
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,353.15,1.2495,doi:10.1002/aic.18095
choline chloride,p-toluenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.333,0.667,288.15,1.2491,10.1021/acssuschemeng.5b00619
choline chloride,p-toluenesulfonic  acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.333,0.667,288.15,1.2491,doi:10.1002/aic.18095
l-alanine,l-lactic acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,348.15,1.249,10.1016/j.jcou.2022.102217
alanine,lactic  acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,348.15,1.249,doi:10.1002/aic.18095
choline chloride,dl-tartaric acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.667,0.333,313.2,1.2489,10.1016/j.jct.2021.106713
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,368.15,1.2486,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25,0.75,368.15,1.2486,doi:10.1002/aic.18095
choline chloride,d-fructose,C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.714,0.286,318.15,1.2485,10.1016/j.tca.2012.04.030
choline chloride,ninhydrin,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.571,0.429,318.15,1.2484,10.1016/j.jct.2021.106713
"n,n-diethylethanolammonium  chloride","2,2,2-trifluoroacetamide",CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N,0.333,0.667,348.1,1.2483,doi:10.1002/aic.18095
choline chloride,monochloroacetic acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,338.15,1.2483,10.1016/j.molliq.2017.04.052
choline chloride,monochloroacetic  acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl,0.333,0.667,338.15,1.2483,doi:10.1002/aic.18095
l-alanine,l-lactic acid,CC(C(=O)O)N,CC(C(=O)O)O,0.125,0.875,298.15,1.2481,10.1016/j.jcou.2022.102217
l-(+)-lactic  acid,l-alanine,CC(C(=O)O)O,CC(C(=O)O)N,0.875,0.125,298.15,1.2481,doi:10.1002/aic.18095
methyltriphenylphosphonium bromide,glycerine,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.364,0.636,358.15,1.248,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerine,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.364,0.636,358.15,1.248,doi:10.1002/aic.18095
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,313.15,1.248,10.1016/j.jct.2021.106713
choline chloride,oxalic  acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,313.15,1.248,doi:10.1002/aic.18095
benzyltripropylammonium  chloride,oxalic  acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,313.15,1.248,doi:10.1002/aic.18095
l-proline,dl-lactic acid,C1CC(NC1)C(=O)O,CC(C(=O)O)O,0.5,0.5,318.15,1.2476,10.1016/j.jct.2018.12.017
1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,0.333,0.667,303.15,1.2473,10.1016/j.ctta.2022.100088
choline chloride,dl-malic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.5,0.5,343.2,1.2472,10.1016/j.molliq.2020.112644
l-(+)-lactic  acid,glycine,CC(C(=O)O)O,C(C(=O)O)N,0.875,0.125,313.15,1.247,doi:10.1002/aic.18095
glycine,l-lactic acid,C(C(=O)O)N,CC(C(=O)O)O,0.125,0.875,313.15,1.247,10.1016/j.jmgm.2022.108319
choline chloride,d-glucose,C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.6,0.4,338.06,1.2467,doi:10.1002/aic.18095
choline chloride,d-glucose,C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.714,0.286,308.19,1.2464,doi:10.1002/aic.18095
tetraethylammonium bromide,benzilic acid,CC[N+](CC)(CC)CC.[Br-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,0.5,0.5,293.15,1.2463,10.1016/j.molliq.2021.118393
tetraethylammonium  bromide,benzilic  acid,CC[N+](CC)(CC)CC.[Br-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,0.5,0.5,293.15,1.2463,doi:10.1002/aic.18095
choline chloride,p-toluenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.333,0.667,293.15,1.2461,api.semanticscholar.org/CorpusID:92513446
choline chloride,p-toluenesulfonic  acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.333,0.667,293.15,1.2461,doi:10.1002/aic.18095
l-alanine,l-lactic acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,353.15,1.246,10.1016/j.jcou.2022.102217
alanine,lactic  acid,CC(C(=O)O)N,CC(C(=O)O)O,0.5,0.5,353.15,1.246,doi:10.1002/aic.18095
methyltriphenylphosphonium bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,358.15,1.2457,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,glycerol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.2,0.8,358.15,1.2457,doi:10.1002/aic.18095
choline chloride,urea,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N,0.667,0.333,298.15,1.2457,doi:10.1002/aic.18095
choline chloride,ninhydrin,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.571,0.429,323.15,1.2456,10.1016/j.tca.2012.04.030
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,318.15,1.245,10.1016/j.jct.2021.106713
choline chloride,oxalic  acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,318.15,1.245,doi:10.1002/aic.18095
benzyltripropylammonium  chloride,oxalic  acid,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,318.15,1.245,doi:10.1002/aic.18095
tetraethylammonium bromide,benzilic acid,CC[N+](CC)(CC)CC.[Br-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,0.5,0.5,298.15,1.2449,10.1016/j.molliq.2021.118393
tetraethylammonium  bromide,benzilic  acid,CC[N+](CC)(CC)CC.[Br-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,0.5,0.5,298.15,1.2449,doi:10.1002/aic.18095
choline chloride,dl-xylitol,C[N+](C)(C)CCO.[Cl-],C(C(C(C(CO)O)O)O)O,0.5,0.5,303.15,1.2445,10.1021/sc500439w
choline chloride,xylitol,C[N+](C)(C)CCO.[Cl-],C(C(C(C(CO)O)O)O)O,0.5,0.5,303.15,1.2445,doi:10.1002/aic.18095
l-proline,dl-lactic acid,C1CC(NC1)C(=O)O,CC(C(=O)O)O,0.5,0.5,323.15,1.244,10.1016/j.jct.2018.12.017
l-alanine,l-lactic acid,CC(C(=O)O)N,CC(C(=O)O)O,0.125,0.875,303.15,1.244,10.1016/j.jcou.2022.102217
l-(+)-lactic  acid,l-alanine,CC(C(=O)O)O,CC(C(=O)O)N,0.875,0.125,303.15,1.244,doi:10.1002/aic.18095
choline chloride,dl-tartaric acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.667,0.333,323.2,1.2434,10.1016/j.jct.2021.106713
choline chloride,d-fructose,C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.714,0.286,328.15,1.2433,10.1002/cphc.200500489
ammonium thiocyanate,glycerol,C(#N)[S-].[NH4+],C(C(CO)O)O,0.2,0.8,313.15,1.2433,doi:10.1002/aic.18095
methyltriphenylphosphonium bromide,ethylene glycol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.25,0.75,308.15,1.2432,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,ethylene  glycol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.25,0.75,308.15,1.2432,doi:10.1002/aic.18095
1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,0.333,0.667,308.15,1.2432,10.1016/j.ctta.2022.100088
choline chloride,maleic acid,C[N+](C)(C)CCO.[Cl-],C(=CC(=O)O)C(=O)O,0.5,0.5,293.2,1.243,10.1016/j.tca.2016.11.008
choline chloride,p-toluenesulfonic acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.333,0.667,298.15,1.2428,10.1016/j.molliq.2017.04.052
choline chloride,p-toluenesulfonic  acid,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.333,0.667,298.15,1.2428,doi:10.1002/aic.18095
choline chloride,ninhydrin,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.571,0.429,328.15,1.2426,10.1016/j.jct.2021.106713
choline chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.5,0.5,333.2,1.2426,10.1016/j.molliq.2020.112644
choline chloride,d-glucose,C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.6,0.4,348.11,1.2426,doi:10.1002/aic.18095
methyltriphenylphosphonium bromide,ethylene glycol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.25,0.75,303.15,1.2424,10.1016/j.tca.2011.10.010
methyltriphenylphosphonium  bromide,ethylene  glycol,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.25,0.75,303.15,1.2424,doi:10.1002/aic.18095
