Component#1,Component#2,SMILES1,SMILES2,X#1 (molar fraction),X#2 (molar fraction),"DES melting temperature, K",Reference (DOI),T#1,T#2
2-hydroxyethyl(trimethyl)azanium;chloride,"(2r,3r,4s,5s,6r)-2-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,0.395,0.605,369.65,10.1021/acssuschemeng.8b02042,578.15,462.05
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],C(CO)O,0.602,0.398,370.485,10.1021/acssuschemeng.0c05518,578.15,260.6
2-hydroxyethyl(trimethyl)azanium;chloride,"(2r,3r,4s,5s,6r)-2-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,0.6,0.4,370.52,10.1021/acssuschemeng.8b02042,578.15,462.05
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.448,0.552,370.98,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.301,0.699,371.42,10.1021/acs.iecr.8b01249,578.15,404.3
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCO,0.681,0.319,371.45,10.1021/acs.iecr.7b02382,578.15,324.4
2-hydroxyethyl(trimethyl)azanium;chloride,n-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)NC1=CC=C(C=C1)O,0.302,0.698,371.52,10.1016/j.fluid.2019.06.005,578.15,443
2-hydroxyethyl(trimethyl)azanium;chloride,"(1r,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C2CCC1(C(=O)C2)C)C,0.599,0.401,372.3,10.1002/cssc.202001331,578.15,449.65
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,0.598,0.402,372.65,10.1021/acs.iecr.8b01249,578.15,370.9
2-hydroxyethyl(trimethyl)azanium;chloride,thiourea,C[N+](C)(C)CCO.[Cl-],C(=S)(N)N,0.42,0.58,373.15,10.1016/j.fluid.2019.06.005,578.15,444.7
2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.54,0.46,373.6,10.1021/acs.iecr.7b02382,578.15,304.8
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.579,0.421,373.62,10.1021/acs.iecr.7b02382,578.15,327
2-hydroxyethyl(trimethyl)azanium;chloride,dodecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.561,0.439,373.75,10.1021/acs.iecr.7b02382,578.15,317.5
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.65,0.35,373.95,10.1021/acs.iecr.7b02382,578.15,332.9
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.597,0.403,374.53,10.1021/acs.iecr.7b02382,578.15,327
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.407,0.593,374.55,10.1021/acs.iecr.8b01249,578.15,479.15
2-hydroxyethyl(trimethyl)azanium;chloride,"(2s,3r)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],C(C(C(CO)O)O)O,0.252,0.748,375.336,10.1021/acssuschemeng.0c05518,578.15,394.7
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.249,0.751,376.42,10.1021/acs.iecr.8b01249,578.15,404.3
2-hydroxyethyl(trimethyl)azanium;chloride,"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.6,0.4,376.8,10.1002/cssc.202001331,578.15,315.7
2-hydroxyethyl(trimethyl)azanium;chloride,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C=C1)C(C)C)O,0.601,0.399,377.2,10.1002/cssc.202001331,578.15,323.5
2-hydroxyethyl(trimethyl)azanium;chloride,"(3s,4s,5s,6r)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.6,0.4,377.52,10.1021/acssuschemeng.8b02042,578.15,406.15
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.53,0.47,377.63,10.1021/acs.iecr.7b02382,578.15,336.8
2-hydroxyethyl(trimethyl)azanium;chloride,"(3s,4s,5s,6r)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.2,0.8,377.85,10.1021/acssuschemeng.8b02042,578.15,406.15
2-hydroxyethyl(trimethyl)azanium;chloride,butanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)C(=O)O,0.4,0.6,379,10.1021/ja048266j,578.15,455.2
2-hydroxyethyl(trimethyl)azanium;chloride,"(3r,4s,5r)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)O)O)O)O,0.599,0.401,379.45,10.1021/acssuschemeng.8b02042,578.15,423
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.4,0.6,379.48,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.65,0.35,381,10.1021/ja048266j,578.15,462.4
2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,0.101,0.899,381.52,10.1016/j.fluid.2019.06.005,578.15,414
2-hydroxyethyl(trimethyl)azanium;chloride,"(3r,4s,5s)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)O)O)O)O,0.201,0.799,381.58,10.1021/acssuschemeng.8b02042,578.15,429.15
2-hydroxyethyl(trimethyl)azanium;chloride,"(2s,3r)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],C(C(C(CO)O)O)O,0.199,0.801,381.614,10.1021/acssuschemeng.0c05518,578.15,394.7
2-hydroxyethyl(trimethyl)azanium;chloride,"(3r,4s,5r)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)O)O)O)O,0.201,0.799,381.62,10.1021/acssuschemeng.8b02042,578.15,423
2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,0.414,0.586,382.48,10.1016/j.fluid.2019.06.005,578.15,414
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.2,0.8,383.62,10.1021/acs.iecr.8b01249,578.15,404.3
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.685,0.315,383.65,10.1021/acs.iecr.7b02382,578.15,332.9
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.35,0.65,384.02,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],C(CO)O,0.638,0.362,384.361,10.1021/acssuschemeng.0c05518,578.15,260.6
2-hydroxyethyl(trimethyl)azanium;chloride,"(2r,3r,4r,5r)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],C(C(C(C(C(CO)O)O)O)O)O,0.5,0.5,385.15,10.1016/j.fluid.2019.06.005,578.15,440.66
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C(=C1)C(=O)O)O,0.211,0.789,385.4,10.1002/cssc.202001331,578.15,432.15
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.348,0.652,385.82,10.1021/acs.iecr.8b01249,578.15,479.15
2-hydroxyethyl(trimethyl)azanium;chloride,"(2r,3r,4s,5s,6r)-2-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,0.302,0.698,386.22,10.1021/acssuschemeng.8b02042,578.15,462.05
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,0.653,0.347,386.65,10.1021/acs.iecr.8b01249,578.15,289.95
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.749,0.251,386.68,10.1021/acs.iecr.8b01249,578.15,479.15
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.75,0.25,387.12,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,n-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)NC1=CC=C(C=C1)O,0.207,0.793,387.82,10.1016/j.fluid.2019.06.005,578.15,443
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.15,0.85,387.88,10.1021/acs.iecr.8b01249,578.15,404.3
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O,0.649,0.351,387.98,10.1021/acs.iecr.8b01249,578.15,350.8
2-hydroxyethyl(trimethyl)azanium;chloride,octadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCC(=O)O,0.505,0.495,388.62,10.1021/acs.iecr.7b02382,578.15,343.67
2-hydroxyethyl(trimethyl)azanium;chloride,"(2s,3r)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],C(C(C(CO)O)O)O,0.099,0.901,389.462,10.1021/acssuschemeng.0c05518,578.15,394.7
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.6,0.4,390.25,10.1021/acs.iecr.7b02382,578.15,311.7
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0.505,0.495,390.52,10.1016/j.fluid.2019.06.005,578.15,368
2-hydroxyethyl(trimethyl)azanium;chloride,"(3s,4s,5s,6r)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.101,0.899,391.75,10.1021/acssuschemeng.8b02042,578.15,406.15
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.101,0.899,391.75,10.1021/acs.iecr.8b01249,578.15,404.3
2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",C[N+](C)(C)CCO.[Cl-],CN(C)C(=O)N,0.38,0.62,392.15,10.1016/j.fluid.2019.06.005,578.15,454.2
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.3,0.7,393.48,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C(=C1)C(=O)O)O,0.592,0.408,393.6,10.1002/cssc.202001331,578.15,432.15
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.555,0.445,393.63,10.1021/acs.iecr.7b02382,578.15,336.8
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.3,0.7,393.65,10.1021/acs.iecr.8b01249,578.15,479.15
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.554,0.446,393.88,10.1021/acs.iecr.7b02382,578.15,336.8
2-hydroxyethyl(trimethyl)azanium;chloride,"(1r,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C2CCC1(C(=O)C2)C)C,0.2,0.8,394.2,10.1002/cssc.202001331,578.15,449.65
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.056,0.944,395.18,10.1021/acs.iecr.8b01249,578.15,404.3
2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.592,0.408,395.55,10.1021/acs.iecr.7b02382,578.15,304.8
2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.613,0.387,395.82,10.1016/j.fluid.2019.06.005,578.15,350.4
2-hydroxyethyl(trimethyl)azanium;chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],C(=O)(C(=O)O)O,0.7,0.3,396,10.1021/ja048266j,578.15,462.4
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,0.649,0.351,396.78,10.1021/acs.iecr.8b01249,578.15,370.9
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.252,0.748,397.98,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,butanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)C(=O)O,0.35,0.65,400,10.1021/ja048266j,578.15,455.2
2-hydroxyethyl(trimethyl)azanium;chloride,butanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)C(=O)O,0.7,0.3,402,10.1021/ja048266j,578.15,455.2
2-hydroxyethyl(trimethyl)azanium;chloride,"(3r,4s,5s)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)O)O)O)O,0.1,0.9,402.78,10.1021/acssuschemeng.8b02042,578.15,429.15
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.2,0.8,404.48,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,"(2r,3r,4s,5s,6r)-2-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,0.201,0.799,404.58,10.1021/acssuschemeng.8b02042,578.15,462.05
2-hydroxyethyl(trimethyl)azanium;chloride,"(3r,4s,5r)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)O)O)O)O,0.102,0.898,405.78,10.1021/acssuschemeng.8b02042,578.15,423
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,0.697,0.303,406.45,10.1021/acs.iecr.8b01249,578.15,289.95
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C(=C1)C(=O)O)O,0.113,0.887,406.9,10.1002/cssc.202001331,578.15,432.15
2-hydroxyethyl(trimethyl)azanium;chloride,n-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)NC1=CC=C(C=C1)O,0.695,0.305,407.92,10.1016/j.fluid.2019.06.005,578.15,443
2-hydroxyethyl(trimethyl)azanium;chloride,octadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCC(=O)O,0.554,0.446,408.6,10.1021/acs.iecr.7b02382,578.15,343.67
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-triol",C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,0.697,0.303,411.216,10.1021/acssuschemeng.0c05518,578.15,291.22
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.15,0.85,411.35,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)(C(=O)O)O,0.201,0.799,411.58,10.1021/acs.iecr.8b01249,578.15,479.15
2-hydroxyethyl(trimethyl)azanium;chloride,"(2r,3r,4s,5s,6r)-2-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,0.7,0.3,411.82,10.1021/acssuschemeng.8b02042,578.15,462.05
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.751,0.249,413.48,10.1021/acs.iecr.7b02382,578.15,332.9
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.667,0.333,413.52,10.1021/acs.iecr.7b02382,578.15,327
2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.642,0.358,413.7,10.1021/acs.iecr.7b02382,578.15,304.8
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.75,0.25,413.78,10.1021/acs.iecr.7b02382,578.15,332.9
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.643,0.357,414.08,10.1021/acs.iecr.7b02382,578.15,311.7
2-hydroxyethyl(trimethyl)azanium;chloride,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C=C1)C(C)C)O,0.7,0.3,414.2,10.1002/cssc.202001331,578.15,323.5
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCO,0.75,0.25,415.78,10.1021/acs.iecr.7b02382,578.15,324.4
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],C(CO)O,0.694,0.306,416.079,10.1021/acssuschemeng.0c05518,578.15,260.6
2-hydroxyethyl(trimethyl)azanium;chloride,"(1r,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C2CCC1(C(=O)C2)C)C,0.699,0.301,416.7,10.1002/cssc.202001331,578.15,449.65
2-hydroxyethyl(trimethyl)azanium;chloride,urea,C[N+](C)(C)CCO.[Cl-],C(=O)(N)N,0.633,0.367,417.061,10.1039/B210714G,578.15,405.85
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],C(C(C(=O)O)O)C(=O)O,0.7,0.3,417.18,10.1021/acs.iecr.8b01249,578.15,404.3
2-hydroxyethyl(trimethyl)azanium;chloride,"(2s,4r)-pentane-1,2,3,4,5-pentol",C[N+](C)(C)CCO.[Cl-],C(C(C(C(CO)O)O)O)O,0.7,0.3,417.92,10.3390/app11041601,578.15,367.15
2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,0.499,0.501,418.25,10.1016/j.fluid.2019.06.005,578.15,414
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.102,0.898,418.28,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.7,0.3,418.5,10.1002/cssc.202001331,578.15,315.7
2-hydroxyethyl(trimethyl)azanium;chloride,"(2r,3r,4r,5s)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],C(C(C(C(C(CO)O)O)O)O)O,0.698,0.302,418.644,10.1021/acssuschemeng.0c08288,578.15,365.15
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.748,0.252,418.65,10.1021/acs.iecr.7b02382,578.15,332.9
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0.603,0.397,418.68,10.1016/j.fluid.2019.06.005,578.15,368
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,0.699,0.301,418.72,10.1021/acs.iecr.8b01249,578.15,370.9
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.603,0.397,418.85,10.1021/acs.iecr.7b02382,578.15,336.8
2-hydroxyethyl(trimethyl)azanium;chloride,"(2s,3r)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],C(C(C(CO)O)O)O,0.666,0.334,419.283,10.1021/acssuschemeng.0c05518,578.15,394.7
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O,0.699,0.301,420.15,10.1021/acs.iecr.8b01249,578.15,350.8
2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",C[N+](C)(C)CCO.[Cl-],CN(C)C(=O)N,0.3333,0.6667,422.15,10.1016/j.molliq.2021.117021,578.15,454.2
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.062,0.938,423.15,10.1021/acs.iecr.8b01249,578.15,428.56
2-hydroxyethyl(trimethyl)azanium;chloride,dodecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.658,0.342,423.45,10.1021/acs.iecr.7b02382,578.15,317.5
2-hydroxyethyl(trimethyl)azanium;chloride,n-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)NC1=CC=C(C=C1)O,0.101,0.899,425.82,10.1016/j.fluid.2019.06.005,578.15,443
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-triol",C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,0.752,0.248,427.432,10.1021/acssuschemeng.0c05518,578.15,291.22
2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.675,0.325,427.85,10.1021/acs.iecr.7b02382,578.15,304.8
2-hydroxyethyl(trimethyl)azanium;chloride,"(3r,4s,5s)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)O)O)O)O,0.699,0.301,428.72,10.1021/acssuschemeng.8b02042,578.15,429.15
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.706,0.294,429.53,10.1021/acs.iecr.7b02382,578.15,327
2-hydroxyethyl(trimethyl)azanium;chloride,"(1r,4r)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C2CCC1(C(=O)C2)C)C,0.1,0.9,429.6,10.1002/cssc.202001331,578.15,449.65
